pType;pId;year;subject
MPV;660;2014;EMENDA Nº 1 DO SENADO FEDERAL AO PLV Nº 1/2015
MPV;661;2014;RECURSO AOS ARTS. 3º, 4º, 5º E 8º
MPV;661;2014;DVS - PSDB - EMENDA Nº 60
MPV;661;2014;DVS - SOLIDARIEDADE - EMENDA Nº 37
MPV;663;2014;PROJETO DE LEI DE CONVERSÃO
MPV;663;2014;DVS - PDT - EMENDA Nº 25
MPV;663;2014;DVS - DEM - EMENDA Nº 11
MPV;664;2014;DVS - PTB - §§10, 11 E 12 DA EMENDA Nº 45
MPV;664;2014;DVS - PP - ALTERAÇÃO PROMOVIDA PELO ART. 3º  DO PLV
MPV;664;2014;DVS - PSDB - §5º DO ART. 60 DA LEI Nº 8.213/1991 ALT. PELO ART. 3º  DO PLV
MPV;664;2014;DVS - PMDB - EMENDA Nº 507
MPV;664;2014;PROJETO DE LEI DE CONVERSÃO
MPV;664;2014;PARECER DA CM PELO ATENDIMENTO DOS PRESSUPOSTOS CONSTITUCIONAIS
MPV;664;2014;DVS - PPS - §10 DO ART. 29 DA LEI 8.213/1991 CONST. DO ART. 3º DO PLV
MPV;664;2014;DVS - PCdoB - INC. II E III DO §5º DO ART. 60 DA LEI Nº 8.213/1991
MPV;664;2014;EMENDA AGLUTINATIVA Nº 5
MPV;664;2014;"DVS - DEM - ART. 77, §2º, INC. V, ALÍNEA ""C"" DA LEI Nº 8.213/1991"
MPV;664;2014;DVS - PSDB - §2ºB DO ART. 77 DA LEI Nº 8.213/1991, CONST. DO ART. 3º DO PLV
MPV;665;2014;PROJETO DE LEI DE CONVERSÃO
MPV;665;2014;DVS - PPS - EMENDA Nº 94
MPV;665;2014;REQUERIMENTO DE RETIRADA DE PAUTA
MPV;665;2014;DVS - PSDB - EMENDA Nº 208
MPV;665;2014;DVS - SD - ART. 9º DA LEI Nº 7.998/1990, MODIFICADO PELO ART. 1 DO PLV
MPV;665;2014;"DVS - PSB - EXPR. ""CONTRATADO POR PRAZO INDETERMINADO"""
MPV;665;2014;REQ. DE VOTAÇÃO NOMINAL P/ O REQ. DE ENCERRAMENTO DISCUSSÃO E ENCAMINHAMENTO
MPV;665;2014;DVS - PSOL - EMENDA Nº 98
MPV;665;2014;EFEITO SUSPENSIVO
MPV;665;2014;REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES
MPV;665;2014;DVS - PSDB - INCISO I DO ART. 3º DA LEI 7998/90
MPV;665;2014;DVS - PMDB - ART. 2º DO PLV
MPV;665;2014;DVS - PDT - EMENDA 68
MPV;665;2014;DVS - DEM - ART. 3º DA LEI 7998/90
MPV;665;2014;EMENDA AGLUTINATIVA Nº 1
MPV;665;2014;DVS - PSDB - § 8º DO ART. 2º DA LEI 10.779/2003
MPV;668;2015;PROJETO DE LEI DE CONVERSÃO
MPV;668;2015;DVS 13 - PSDB - § 1º-A DO ART 15 DA LEI 1.086/04, PROPOSTO PELO ART 1º DO PLV
MPV;668;2015;DVS 9 - PSD - § 1º E CONSEQ. SEUS INC. I E II, DO ART 8º DA LEI 10.865/04
MPV;668;2015;DVS 6 PMDB - ART. 34-A, DA LEI 13.097/15, INCLUÍDO PELO ART. 24 DO PLV
MPV;668;2015;DVS - PPS - ART. 1º DO PLV
MPV;668;2015;DVS - PPS - ART. 1º DO PLV
MPV;668;2015;DVS - DEM  - §§ 1º E 2º DO ART 8º DA LEI 10.865/2004
MPV;668;2015;RECURSO PARA ADMISSÃO DO ART. 5º
MPV;668;2015;"DVS 16 PT- EXPR.""OU QUALQUER OUTRA NATUREZA"", INC. II, ART. 22,LEI 8212/91"
